Cu,Mg,Mn,Fe,Si,Zn,Zr,temperature,strength
4.2,1.2,0.6,0.2,0.2,0.2,0.2,495,398.6
4.2,1.4,0.6,0.1,0.2,0.2,0.1,420,320.65
4.5,1.6,0.8,0.1,0.4,0.3,0.2,475,381.59
3.8,1.2,0.8,0.1,0.2,0.1,0.2,475,378.0
4.2,1.8,0.8,0.3,0.2,0.3,0.1,500,398.99
4.2,1.2,0.8,0.1,0.2,0.2,0.3,475,382.59
4.2,1.8,0.6,0.2,0.4,0.3,0.3,420,317.81
4.5,1.2,0.8,0.1,0.6,0.1,0.2,480,373.46
3.8,1.2,0.6,0.2,0.2,0.3,0.3,430,331.94
4.0,1.8,0.4,0.2,0.6,0.1,0.2,450,351.02
4.0,1.6,0.4,0.3,0.6,0.3,0.2,505,394.51
4.2,1.6,0.4,0.3,0.2,0.2,0.3,400,302.58
4.0,1.8,0.8,0.1,0.2,0.3,0.1,485,382.65
3.8,1.8,0.8,0.3,0.4,0.3,0.3,495,396.44
4.0,1.8,0.8,0.1,0.4,0.3,0.2,480,381.78
4.5,1.4,0.6,0.1,0.4,0.1,0.2,500,408.43
3.8,1.4,0.8,0.2,0.6,0.1,0.1,450,344.08
4.2,1.4,0.4,0.1,0.6,0.1,0.2,475,370.73
3.8,1.8,0.6,0.3,0.4,0.3,0.2,440,337.48
3.8,1.2,0.6,0.3,0.4,0.2,0.1,470,374.85
4.5,1.2,0.6,0.1,0.2,0.3,0.1,490,405.55
4.5,1.8,0.8,0.3,0.2,0.2,0.1,490,385.72
4.0,1.6,0.4,0.2,0.2,0.3,0.2,470,373.46
3.8,1.8,0.8,0.3,0.2,0.2,0.2,510,399.62
4.0,1.8,0.8,0.1,0.2,0.2,0.3,485,380.96
4.0,1.4,0.4,0.1,0.2,0.3,0.1,410,315.28
4.2,1.2,0.6,0.1,0.6,0.2,0.2,440,329.47
4.0,1.2,0.8,0.1,0.2,0.1,0.3,470,376.46
4.5,1.8,0.6,0.2,0.2,0.3,0.2,470,367.2
4.0,1.4,0.4,0.2,0.2,0.2,0.2,430,332.04
3.8,1.6,0.4,0.1,0.6,0.3,0.1,410,314.13
3.8,1.4,0.8,0.3,0.4,0.3,0.3,400,301.36
3.8,1.6,0.6,0.2,0.6,0.3,0.3,440,340.05
4.2,1.2,0.6,0.1,0.2,0.2,0.1,500,399.42
4.0,1.2,0.6,0.2,0.2,0.2,0.3,470,379.48
4.0,1.4,0.8,0.3,0.6,0.3,0.3,410,308.21
4.5,1.8,0.4,0.3,0.4,0.2,0.1,475,381.05
4.0,1.4,0.8,0.2,0.6,0.3,0.3,420,314.6
3.8,1.8,0.8,0.2,0.2,0.2,0.2,505,400.76
4.5,1.6,0.8,0.2,0.2,0.2,0.2,430,325.12
4.5,1.4,0.8,0.3,0.4,0.2,0.2,475,380.4
4.5,1.8,0.6,0.1,0.4,0.3,0.1,430,327.37
4.2,1.8,0.8,0.1,0.2,0.3,0.3,400,296.76
4.0,1.6,0.4,0.1,0.6,0.1,0.2,485,389.77
4.0,1.6,0.4,0.1,0.6,0.3,0.3,440,338.02
4.5,1.6,0.4,0.2,0.6,0.2,0.2,450,347.62
4.0,1.2,0.6,0.3,0.4,0.3,0.1,490,393.51
3.8,1.2,0.8,0.2,0.4,0.3,0.1,475,380.56
3.8,1.8,0.8,0.3,0.6,0.3,0.3,510,394.37
3.8,1.6,0.6,0.3,0.6,0.2,0.3,440,338.68
3.8,1.8,0.4,0.3,0.4,0.1,0.1,480,382.93
4.2,1.8,0.6,0.2,0.6,0.2,0.2,410,308.42
4.0,1.4,0.6,0.1,0.4,0.1,0.3,500,397.59
3.8,1.2,0.4,0.3,0.2,0.2,0.2,475,385.68
4.5,1.2,0.8,0.3,0.2,0.1,0.1,470,373.56
4.5,1.6,0.6,0.2,0.2,0.3,0.2,490,396.85
4.5,1.2,0.8,0.2,0.2,0.2,0.2,500,400.55
4.2,1.2,0.6,0.2,0.4,0.1,0.1,460,360.2
3.8,1.8,0.8,0.2,0.2,0.3,0.1,420,309.72
3.8,1.4,0.8,0.2,0.6,0.3,0.2,495,386.84
3.8,1.8,0.4,0.3,0.6,0.2,0.3,500,389.29
3.8,1.4,0.4,0.3,0.2,0.3,0.2,505,392.93
4.5,1.4,0.6,0.2,0.2,0.2,0.2,410,309.81
4.0,1.6,0.8,0.3,0.2,0.3,0.2,450,343.34
4.0,1.8,0.8,0.2,0.2,0.2,0.1,470,361.26
3.8,1.8,0.6,0.3,0.2,0.2,0.3,485,379.7
4.5,1.6,0.8,0.2,0.4,0.3,0.2,460,359.93
4.2,1.2,0.4,0.3,0.2,0.2,0.3,430,330.42
4.5,1.2,0.8,0.3,0.6,0.3,0.2,485,381.47
3.8,1.6,0.6,0.1,0.6,0.3,0.1,460,359.02
4.0,1.6,0.8,0.1,0.6,0.3,0.1,485,385.16
4.5,1.6,0.4,0.3,0.6,0.3,0.2,475,375.08
3.8,1.2,0.4,0.1,0.4,0.3,0.1,500,392.01
4.2,1.8,0.6,0.2,0.6,0.3,0.2,480,390.18
4.0,1.4,0.6,0.2,0.4,0.1,0.2,400,302.27
4.0,1.8,0.8,0.3,0.6,0.1,0.1,495,396.24
4.0,1.8,0.8,0.3,0.6,0.1,0.1,475,378.89
3.8,1.4,0.6,0.2,0.4,0.1,0.1,460,365.6
4.2,1.2,0.8,0.1,0.4,0.2,0.2,495,397.51
4.0,1.6,0.6,0.2,0.2,0.2,0.2,500,405.06
3.8,1.6,0.6,0.1,0.4,0.2,0.1,420,321.04
4.2,1.8,0.8,0.3,0.2,0.2,0.1,460,348.96
4.5,1.2,0.4,0.3,0.2,0.3,0.3,475,386.22
3.8,1.8,0.4,0.2,0.6,0.2,0.2,480,388.03
4.5,1.2,0.6,0.3,0.4,0.1,0.2,505,407.3
